#,Topic,Sub Topic,Question,Code Snippet,Question Type,Correct Option,Answer 1,Answer 2,Answer 3,Answer 4,Reference Link
131,OOPS,Python Classes,"Which Of The Following Represents A Template, Blueprint, Or Contract That Defines Objects Of The Same Type?",,MCQ,1, A class, An object,A method,A data field,https://www.techbeamers.com/online-python-quiz-beginners-classes-objects/
132,OOPS,Python Classes,Which Of The Following Keywords Mark The Beginning Of The Class Definition?,,MCQ,3,def,return,class,All of the above.,https://www.techbeamers.com/online-python-quiz-beginners-classes-objects/
133,OOPS,Python Classes,Which Of The Following Is Required To Create A New Instance Of The Class?,,MCQ,1,A constructor, A class,A value-returning method ,A None method,https://www.techbeamers.com/online-python-quiz-beginners-classes-objects/
134,OOPS,Python Classes,"Which Of The Following Can Be Used To Invoke The __init__ Method In B From A, Where A Is A Subclass Of B?",,MCQ,1 & 4,super().__init__(),super().__init__(self),B.__init__(),B.__init__(self),https://www.techbeamers.com/online-python-quiz-beginners-classes-objects/
135,OOPS,Python Classes,_____ is used to create an object.,,MCQ,2,class,constructor,User-defined functions,In-built functions,
136,OOPS,Python Classes,What is Instantiation in terms of OOP terminology?,,MCQ,3,Deleting an instance of class,Modifying an instance of class,Creating an instance of class,Copying an instance of class,
137,Design Pattern,Python Decorators,The ______ symbol along with the name of the decorator function can be placed above the definition of the function to be decorated works as an alternate way for decorating a function.,,MCQ,3,#,$,@,&,
138,Design Pattern,Python Decorators,A function with parameters cannot be decorated. State whether true or false.,,MCQ,1,TRUE,FALSE,,,
139,Design Pattern,Python Decorators,Which of the following formatting options can be used in order to add ‘n’ blank spaces after a given string ‘S’?,,MCQ,4,print(“-ns”%S),print(“-ns”%S),print(“%ns”%S),print(“%-ns”%S),
140,Design Pattern,Python Generators,Out if list and tuples which are mutable ?,,MCQ,2,tuples,list,both are mutable,,
141,Exception Handling,Python Exception Handling,Which of the following is not an exception handling keyword in Python?,,MCQ,3,try,except,accept,finally,"The keywords ‘try’, ‘except’ and ‘finally’ are exception handling keywords in python whereas the word ‘accept’ is not a keyword at all.
https://www.sanfoundry.com/python-questions-answers-exception-handling-2/"
142,Exception Handling,Python Exception Handling,An exception is:,,MCQ,2,a special function,an object,a standard module,a module,"An exception is an object that is raised by a function signaling that an unexpected situation has occurred, that the function itself cannot handle."
143,Exception Handling,Python Exception Handling,_______________________ exceptions are raised as a result of an error in opening a ,,MCQ,4,ValueError,TypeError,ImportError,IOError,IOError exceptions are raised as a result of an error in opening or closing a particular file.
144,Exception Handling,Python Exception Handling,Which of the following blocks will be executed whether an exception is thrown or not?,,MCQ,3,except,else,finally,assert,"The statements in the finally block will always be executed, whether an exception is thrown or not. This clause is used to close the resources used in a code."
145,Exception Handling,Python Exception Handling,Which of the following is not a standard exception in Python?,,MCQ,3,NameError,IOError,AssignmentError,ValueError,"NameError, IOError and ValueError are standard exceptions in Python whereas Assignment error is not a standard exception in Python."
146,Exception Handling,Python Exception Handling,Which of the following statements is true?,,MCQ,1,The standard exceptions are automatically imported into Python programs,All raised standard exceptions must be handled in Python,"When there is a deviation from the rules of a programming language, a semantic error is thrown","If any exception is thrown in try block, else block is executed","When any exception is thrown in try block, except block is executed. If exception in not thrown in try block, else block is executed. When there is a deviation from the rules of a programming language, a syntax error is thrown. The only true statement above is: The standard exceptions are automatically imported into Python programs."
147,OOPS,Python Functions, ----- internal python function returns the memory address of an object,,MCQ,1,id(),mem(),iter(),getobj(),ACP
148,OOPS,Python Modules, --------- is a python module for spawning child applications and controlling them,,MCQ,1,pexpect,pip,pos,pcntrl,ACP
149,OOPS,Python Modules, ------ is an interactive source code debugger for python,,MCQ,1,pdb,gdb,punit,pydebug,ACP
150,OOPS,Python Modules, A ------- is a file containing python definitions and statements,,MCQ,1,module,package,header,import,ACP
151,Data Structures,Python Tuples," Suppose d = {""kolkata"":40, ""chennai"":45,  ""gurgaon"":50},the values are __________",,MCQ,3,""" kolkata "", 40, 45, and "" chennai "", ""gurgaon"", 50","“kolkata”, “chennai”, ""gurgaon""","40,  45, 50","d = (40:""kolkata"", 45:""chennai"", 50:""gurgaon"")",ACP
152,Data Structures,Python Tuples," Suppose d = {""kolkata"":40, ""chennai"":45},the keys are __________",,MCQ,2,""" kolkata "", 40, 45, and "" chennai """,“Kolkata” and “Chennai”,40 and 45,"d = (40:""kolkata"", 45:""chennai"")",ACP
153,Code Analysis,Python Code Analysis,"A program is written that accepts lines as input from the user and print the lines after making the first character in the lines capitalized. But it is not getting interpreted, so not  working yet. Figure out the error(s) from the given code fragment.


","def raw_input():
    lines = []
    while True:
         s = raw_input()
         if s:
             lines.add(s.upper())
         else:
             break;
    
    for sentence in lines:
         print(sentence)

",MCQ,2 & 4,"Instead of s.upper, we need to write upper(s).","Instead of s.upper, we need to write s.capitalize()","Instead of raw_input(), the correct function should be input()","Instead of lines.add, it should be
lines.append since a list object does not have any attribute called add.",ACP
154,Exception Handling,Python Exception Handling,An exception is:,,MCQ,1,an object,a special function,a standard module,a module,ACP
155,Code Analysis,Python Code Analysis,"Analyze the following piece of code and choose the correct output.


","mymatrix = [[1, 2, 3, 4], [4, 5, 6, 7], [8, 9, 10, 11],[12, 13, 14, 15]]
for i in range(0, 4):
  print(mymatrix[i][1])
",MCQ,1,"2
5
9
13","1
4
8
12","1
4
11
12","2
5
14
15",ACP
156,Code Analysis,Python Code Analysis,"Analyze the following piece of code.
","class A:
     def __init__(self, s):
         self.s = s

     def myprint(self):
         print(self.s)

a = A(""Altran"")
a.myprint()",MCQ,3,The program has an error because class A does not have a destructor,The program has an error because “s” is not defined in “myprint” method,The program runs fine and prints Altran,"The program has an error since the constructor is invoked with one argument, instead of two",ACP
157,Code Analysis,Python Code Analysis,"Consider  the given code fragment. It extracts the file name and extension name from a given file name. What is the error in this code fragment?
Suppose the given filename (that is myfilename)  is  ""myvideo.mp4. The variables ""only_file_name"", and ""only_ext_name"" finally must contain
""myvideo"" and ""mp4"" respectively.","only_file_name = myfilename.extract('.')[0]
only_ext_name  = myfilename.extract('.')[1]",MCQ,1,Instead of myfilename.extract it should be myfilename.split,"Instead of the given code fragment, it should be only_file_name = myfilename.extract['.']{0}
only_ext_name  = myfilename.extract['.']{1}",Instead of myfilename.extract it should be myfilename.strtok,"Instead of the given code fragment, it should be only_file_name = split(0, myfilename)
only_ext_name  = split(1, myfilename)",ACP
158,Data Structures,Python List,"Consider ""sys.argv"" to pass command line arguments to a python program.What is the type of sys.argv?
",,MCQ,1,list,string,tuple,dictionary,ACP
159,Data Structures,Python List,"Consider ""sys.argv"" to pass command line arguments to a python program.What is the type of sys.argv?



","
",MCQ,1,list,string,tuple,dictionary,ACP
160,Data Structures,Python List,"Consider the following piece of code 
mycsv = ""word1,word2,word3,word4""
myvar = mycsv.split(',')
What is myvar?
",,MCQ,2,An array,A List ,A Tuple,A dictionary ,ACP
161,Data Structures,Python List,"Consider the following piece of code. What is myvar?


","mycsv = ""word1,word2,word3,word4""
myvar = mycsv.split(',')

",MCQ,2,An array,A List ,A Tuple,A dictionary ,ACP
162,Code Analysis,Python Code Analysis,"Consider the function shown. It takes a dictionary and a data file name as
arguments. The dictionary consists of employee email id, a space and the name of a subject as key (all three concatenated) and the score in that subject as value. The purpose of  the function is to read a base data file of the form employee email and subject separated by comma. Then get the score of that employee in that subject from the dictionary if the entry  is there, else ""Not Done"". This is to be written to an output file. 
The format of the Output file is email identifier, subject name and score separated by comma (and a newline at the end). Note that an employee email identifier can't have space in between but a subject name can have space in between like ""Automation in Python"".
Based on this fill the missing code(s). A sample output can be
virat2.gupta@altran.com, Automation Using Python, 80","def update_output(employee_score_dict, base_data_file):
    """"""Reading Base data and getting scores from dict or Not Done""""""    
    fin = open(base_data_file, 'r')
    fout = open(MYOUTFILENAME,  'w')
    #code to create mylist, which is a list of input lines
    for email_certi in mylist:
        cleaned_data = email_certi.strip()
        email = cleaned_data.split("","")[0]
        certi = cleaned_data.split("","")[1]
        email_space_certi = email + "" "" + certi
        #fetch score from dict for this employee with this subject.
        #fill the line given just below
        line_to_write = -------------------------
        fout.write(line_to_write)
        
    fin.close()
    fout.close()
    
",MCQ,1,""","".join(email_space_certi.split("" "", 1)) + "","" + str(score) + ""\n""",""","".join(email_space_certi.split("" "")) + "","" + str(score) + ""\n""",""","".join(email_space_certi.rsplit("" "")) + "","" + str(score) + ""\n""",No option is correct ,ACP
163,Data Structures,Python List,"Consider the function shown. It takes a dictionary and a data file name as
arguments. The dictionary consists of employee email id, a space and the name of a subject as key (all three concatenated) and the score in that subject as value. The purpose of  the function is to read a base data file of the form employee email and subject separated by comma. Then get the score of that employee in that subject from the dictionary if the entry  is there, else ""Not Done"". This is to be written to an output file. 
The format of the Output file is email identifier, subject name and score separated by comma (and a newline at the end). Note that an employee email identifier can't have space in between but a subject name can have space in between like ""Automation in Python"".
Based on this fill the missing code(s). A sample output can be
manish6.gupta@aricent.com, Automation Using Python, 80","def update_output(employee_score_dict, base_data_file):
    """"""Redaing Base data and getting scores from dict or Not Done""""""    
    fin = open(base_data_file, 'r')
    fout = open(MYOUTFILENAME,  'w')
    #fill the line given just below. It creates a list of input lines
    mylist = -----------
    for email_certi in mylist:
        cleaned_data = email_certi.strip()
        email = cleaned_data.split("","")[0]
        certi = cleaned_data.split("","")[1]
        email_space_certi = email + "" "" + certi
       
        score =employee_score_dict.get(email_space_certi, ""Not Done"")
        #code to create line_to_write
        fout.write(line_to_write)
        
    fin.close()
    fout.close()
    
",MCQ,1,list(fin),makelist(fin),lst(fin),fin.appendlist(),ACP
164,OOPS,Python Classes,Considering python programming language which of these in not an inbuilt datatype?,,MCQ,4,Lists,Dictionary,Tuples,Class,ACP
165,Data Structures,Python Pointer,How do you rename a file? Consider fp is a file pointer to the file.,,MCQ,2,fp.name = ‘new_name.txt’,"os.rename(existing_name, new_name)","os.rename(fp, new_name)","os.set_name(existing_name, new_name)",ACP
166,OOPS,Python Functions,"If a function doesn’t have a return statement, which of the following does the function return?",,MCQ,3,int,null,None,An exception is thrown without the return statement,ACP
167,OOPS,Python Functions,"If we have two sets, s1 and s2, and we want to check if all the elements of s1 are present in s2 or not, we can use the function:",,MCQ,2,s2.issubset(s1),s2.issuperset(s1),s1.issuperset(s2),s1.isset(s2),ACP
168,Data Structures,Python Dictionary,In order to store values in terms of “key” and “value” we use what inbuilt datatype.,,MCQ,4,List,Tuple,Class,Dictionary,ACP
169,OOPS,Python Functions,In python ------ internal function returns the list of names in the current local scope.,,MCQ,1,dir(),phelp(),getattribute(),enumerate(),ACP
170,Code Analysis,Python Code Analysis,"What will be the output?
","Myvar1 = {10, 20, 30, 100, 500, 600, 10}
Myvar2 = {1000, 200, 5000, 600, 30}
print(Myvar1 & Myvar2)",MCQ,1,"600, 30",10,"10, 10",630,ACP
171,OOPS,Python Classes,Name the pexpect class to spawn an external child command and then interact with the child process.,,MCQ,1,spawn,dup,msgctl,vfork,ACP
172,Data Structures,Python List,"Suppose mylist = [[0.5 * x] for x in range(0, 4)]. What are the elements of mylist?",,MCQ,4,"[0, 1, 2, 3]","[0, 1, 2, 3, 4]","[0.0, 0.5, 1.0, 1.5]","[[0.0], [0.5], [1.0], [1.5]]",ACP
173,Data Structures,Python List,"Suppose mylist = [0.5 * x for x in range(0, 4)]. What are the elements of mylist?",,MCQ,3,"[0, 1, 2, 3]","[0, 1, 2, 3, 4]","[0.0, 0.5, 1.0, 1.5]","[0.0, 0.5, 1.0, 1.5, 2.0]",ACP
174,Data Structures,Python List,"Suppose mylist = [1, 3, 2, 4, [5, 2, 1, 0]]
What will mylist.pop() prints?",,MCQ,2,[1],"[5, 2, 1, 0]",[0],5,ACP
175,Data Structures,Python List,"Suppose mylist is [1, 3, 2, 4, 5, 2, 1, 0]. What will mylist.pop() prints?",,MCQ,2,1,0,3,5,ACP
176,Code Analysis,Python Code Analysis,"Suppose t = (1, 2, 4, 3), which of the following is incorrect?",,MCQ,2,print(t[3]),t[3] = 45,print(max(t)),print(len(t)),ACP
177,Data Structures,Python Dictionary,"Suppose you have a dictionary 
mydict = { 'a': 1, 'b': 2, 'c': 3 }. You need to print it as a list of tupes like [(1, 'a'), (3, 'c'), (2, 'b')]. Choose the correct code fragment to do this.",,MCQ,1,"print [(v, k) for k, v in mydict.items()]","print [(v, k) for k, v in mydict]",print list(mydict),print tuple(mydict),ACP
178,Data Structures,Python List,"Suppose you have a list 
mylist = [10, 20, 30, 100, 500, 600]
You need to create a clone of this list. The correct code will be 
",,MCQ,2,mynewlist = mylist ,mynewlist = list(mylist) ,mynewlist = fork(mylist),mynewlist = set(mylist),ACP
179,Data Structures,Python List,"Suppose you have a list called ""mylist"" and you want to make a clone of this named ""mynewlist"". Choose the correct code to do this.",,MCQ,2,mynewlist = mylist ,mynewlist = list(mylist) ,mynewlist = fork(mylist),mynewlist = set(mylist),ACP
180,Data Structures,Python List,Suppose you have a list mylist. How can you reverse the list?,,MCQ,1,mylist.reverse(),reverse(mylist),reverse.mylist,No option is correct ,ACP
181,Data Structures,Python List,Suppose you have a list mylist. How can you sort the  list? (you need not create another list),,MCQ,1,mylist.sort(),sort(mylist),mylist.sorted(),sorted(mylist),ACP
182,Data Structures,Python List,"Suppose you have a list named mylist having numbers. You want to create a new list mynewlist,  whose elements are double of the elements in mylist. (If elements of mylist are 10, 20, 30 then the elements of mynewlist will be 20, 40, 60).
Choose the correct code fragment to do this.",,MCQ,1,mynewlist  =  [x * 2 for x in mylist],mynewlist  = 2 * mylist,mynewlist  =  [x * 2 * mylist],mynewlist = set(mylist),ACP
183,Data Structures,Python Strings,Symbol ……….. matches the start of a string and ---------- matches the end of a string. ,,MCQ,1,^ and $,$ and ^,$ and ?,& and ^,ACP
184,OOPS,Python Functions,The ______ function can be used to check if a file f exists,,MCQ,3,os.path.isdir(f),os.path.exists(f),os.path.isfile(f),os.isFile(f),ACP
185,OOPS,Python Functions,The function of re.match is,,MCQ,1,Matches a pattern at the start of the string,Matches a pattern at the end of the string,Matches a pattern anywhere in the string,re.match is not available in python,ACP
186,Data Structures,Python List,The readlines() method returns a ____________.,,MCQ,2,String object,list of lines,list of single characters,list of line numbers,ACP
187,Data Structures,Python List,"To add 50 to the end of a list named “mylist”, we use _______. ",,MCQ,2,mylist.add(50),mylist.append(50),mylist.addLast(50),mylist.addEnd(50),ACP
188,OOPS,Python Functions,"To read two characters from a file object myfile, we use",,MCQ,1,myfile.read(2),myfile.read(),myfile.readline(),myfile.readlines(),ACP
189,Data Structures,Python Pass,"What does the following code fragment do?
def a(b, c, d): pass",,MCQ,3,Defines a list and initializes it,Defines a dictionary and initializes it,Defines a function which does nothing ,Defines a class which does nothing ,ACP
190,OOPS,Python Functions,"What is answer of this expression, 22 % 3 is, if you run it using python interpreter?",,MCQ,2,7,1,0,5,ACP
191,OOPS,Python Modules,"What is len(""Good"")?",,MCQ,4,-1,2,3,4,ACP
192,OOPS,Python Modules,What is the need of,"if __name__ == ""__main__"":
 somemethod()",MCQ,3,Create new module,Define generators,"Run python module as main program
",Create new objects,ACP
193,OOPS,Python Classes,What is the output of the code shown below?,"g = (i for i in range(5))
print(type(g))",MCQ,4,class <’loop’>,class <‘iteration’>, class <’range’>,class <’generator’>,ACP
194,Code Analysis,Python Code Analysis,What is the output of the following code fragment?,"a={1:""A"",2:""B"",3:""C""}
print(a.get(1,4))
",MCQ,1,A,1,4,Invalid syntax for get method,ACP
195,Code Analysis,Python Code Analysis,What is the output of the following code fragment?,"def change(one, *two):
   print(type(two))
change(1,2,3,4)",MCQ,1,<class 'tuple'>,<type 'int'>,<type 'dict'>,<type 'str'>,ACP
196,Code Analysis,Python Code Analysis,What is the output of the following code fragment?,"def foo(x):
    x[0] = ['def']
    x[1] = ['abc']
    return id(x)
q = ['abc', 'def']
print(id(q) == foo(q))
",MCQ,1,True ,False ,Error,No other option is correct.,ACP
197,Code Analysis,Python Code Analysis,What is the output of the following code fragment?,"def power(x, y=2):
    r = 1
    for i in range(y):
       r = r * x
    return r
print(power(3, 3))
",MCQ,1,27,8,1000,125,ACP
198,Code Analysis,Python Code Analysis,What is the output of the following code fragment?,"numberGames = {}
numberGames[(1,2,4)] = 8
numberGames[(4,2,1)] = 10
numberGames[(1,2)] = 12
sum = 0
for k in numberGames:
    sum += numberGames[k]
print(len(numberGames) + sum)
",MCQ,1,33,30,40,45,ACP
199,Code Analysis,Python Code Analysis,"What is the output of the following code fragment?

","elements = [0, 1, 2]
def incr(x):
    return x+1
print(list(map(incr, elements)))",MCQ,4,"[1, 2, 3]","[0, 1, 2]",error,TypeError: 'list' object is not callable,ACP
200,Code Analysis,Python Code Analysis,"What is the output of the following code fragment?


","def myfunction():
    try:
        print(""A""),
        return
    except:
        print(""B""),
    else:
        print(""C""),
    finally:
        print(""D"")

myfunction()
",MCQ,1,"A  D
",A  C,C D,B C,ACP
201,Code Analysis,Python Code Analysis,What is the output of the following code?,"a=[13,56,17]
a.append([87])
a.extend([45,67])
print(a)",MCQ,1,"[13, 56, 17, [87], 45, 67]","[13, 56, 17, 87, 45, 67]","[13, 56, 17, 87,[ 45, 67]]","[13, 56, 17, [87], [45, 67]]",ACP
202,Code Analysis,Python Code Analysis,What is the output of the following piece of code when executed in Python shell?,"a=dict()
a[1]",MCQ,2,1,An exception is thrown since the dictionary is empty,0,2,ACP
203,Code Analysis,Python Code Analysis,"What is the output of the following piece of code?

","mynumbers = [1, 2, 3, 4]
mynumbers.append([5,6,7,8])
print(len(mynumbers))
",MCQ,2,10,5,8,The code results in a runtime error (TypeError),ACP
204,Code Analysis,Python Code Analysis,"What is the output of the following piece of code?

","mynumbers = [1, 2, 3, 4]
mynumbers.append(5,6,7,8)
print(len(mynumbers))
",MCQ,4,10,5,8,The code results in a runtime error (TypeError),ACP
205,Code Analysis,Python Code Analysis,"What is the output of the following piece of code?


","mystring = ""Hello""
s = mystring[::-1]
s[0] = 'h'
print(s)

",MCQ,4,hello,hlleH,Hello,Results in a runtime error,ACP
206,Code Analysis,Python Code Analysis,"What is the output of the following piece of code?


","mynumbers = [1, 2, 3, 4]
mynumbers.append([5,6,7,8])
print(len(mynumbers))",MCQ,2,10,5,8,Throws an exception,ACP
207,Code Analysis,Python Code Analysis,"What is the output of the following piece of code?

","myname = ""aricent GGN""
myname[1] = 'A'
print( myname)",MCQ,4,“Aricent GGN”,“aricent GGN”,“aAicent GGN”,This results in a “TypeError”,ACP
208,Code Analysis,Python Code Analysis,"What is the output of the following?
","x = [""ab"", ""cd""]
for i in x:
    i.upper()
print(""|"".join(x))
",MCQ,1,"ab|cd
","AB|CD
",None|None,The code results in a runtime error ,ACP
209,Code Analysis,Python Code Analysis,"What is the output of the following?

","def myfunc():
    x = ['ab', 'cd']
    for i in x:
        i.upper()
    return x
    
def main():
    print(myfunc())

if __name__ == ""__main__"":
    main()",MCQ,1,"[‘ab’, ‘cd’] ","[‘AB’, ‘CD’] ","[None, None] ",No other option is correct.,ACP
210,Code Analysis,Python Code Analysis,"What is the output of the following?

","def myfunc():
    x = ['ab', 'cd']
    nx = [i.upper() for i in x]
    return nx
    
def main():
    print(myfunc())

if __name__ == ""__main__"":
    main()",MCQ,2,"[‘ab’, ‘cd’] ","[‘AB’, ‘CD’] ","[None, None] ",No other option is correct.,ACP
211,Code Analysis,Python Code Analysis,"What is the output of the following?

","x = ['ab', 'cd']
for i in x:
    i.upper()
print(x)",MCQ,1,"[‘ab’, ‘cd’] ","[‘AB’, ‘CD’] ","[None, None] ",None of the options ,ACP
212,Code Analysis,Python Code Analysis,"What is the output of the following?
",print('abc'.islower()),MCQ,1,TRUE,FALSE,NONE,ERROR,ACP
213,OOPS,Python Functions,What is the use of tell() method in python?,,MCQ,1,tells you the current position within the file,tells you the end position within the file,tells you the file is opened or not,No other option is correct.,ACP
214,Code Analysis,Python Code Analysis,What will be  the output of the following code fragment?,"class BankAccount:
    def __init__(self, initial_balance=55):
        self.balance = initial_balance
    def deposit(self, amount):
        self.balance += amount
    def withdraw(self, amount):
        self.balance -= amount
    def overdrawn(self):
        return self.balance < 0

my_account = BankAccount()
my_account.withdraw(5)
print(my_account.balance)",MCQ,1,50,55,5,45,ACP
215,Code Analysis,Python Code Analysis,What will be  the output of the following code fragment?,"class Parent(object):
    x = 1

class Child1(Parent):
    pass

class Child2(Parent):
    pass

print(Parent.x, Child1.x, Child2.x),
Child1.x = 2
print(Parent.x, Child1.x, Child2.x)",MCQ,1,1 1 1 1 2 1,2 1 2 1 2 1,1 2 1 1 2 1,1 3 1 1 2 1,ACP
216,Code Analysis,Python Code Analysis,"What will be the ouput of the following code fragment?


","list = [ 12 , 3 , 5 , 8 , 10 , 13 , 18 , 36 , 78 ]
mynewlist = [x for x in list[::2] if x%2 == 0]
print(mynewlist)


",MCQ,1,"[12, 10, 18, 78]
","[12, 8, 10, 18, 36, 78]
","[12, 5, 10, 18, 78]","[12, 10, 18]",ACP
217,Code Analysis,Python Code Analysis,what will be the output of the following code fragment?,"def myfunc(arg, *targ, **darg):
   print(sum(targ) + arg + sum(darg.values()))
 

myfunc(37, 2, 3, gurgaon=124, kolkata=34)",MCQ,1,"200
",42,158,163,ACP
218,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","a = ""IT is ever growing in India""
b = a.replace(""I"", ""i"", 1)
print(b)",MCQ,1,iT is ever growing in India,iT is ever growing in india,IT is ever growing in India,IT is ever growing In india,ACP
219,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","def build_dict(mylistofword):
    mydict = {}
    for word in mylistofword:
        mydict[word] = mydict.get(word, 0) + 1

    return mydict

def main():
        mylist = [""w1"", ""w2"", ""w1"", ""w4"", ""w2""]
        print(max(build_dict(mylist).values()))

main()",MCQ,4,3,4,6,2,ACP
220,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","def f(in_str):
    out_str = in_str.upper()
    return True, out_str

succeeded, b = f(""a"") 
print(b, succeeded)",MCQ,1,A True,A,a True,A  1,ACP
221,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","def my_func():

   """"""Docstring goes here""""""
   print(my_func.__doc__)

my_func()

",MCQ,1,"Docstring goes here
","None 
",Python Ver 2.7,Docstring,ACP
222,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","def myfunc():
    pass
    
def main():
    print(myfunc())

if __name__ == ""__main__"":
    main()",MCQ,3,This results in a “TypeError” as output.,"Prints the type and address of the name ""myfunc""","Prints ""None""",Throws an exception,ACP
223,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","def myfunc():
  """"""MYFUNCTION""""""
 #Does Nothing
pass

def main():

    print(myfunc.__doc__)

if __name__ == ""__main__"":
    main()
",MCQ,1,MYFUNCTION,"Prints the type and address of the name ""myfunc""",Does Nothing,NONE,ACP
224,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","def myfunc(*args, **kwargs):
   for a in args:
       print(a)

myfunc(1, 2, 3, gurgaon=123)",MCQ,1,"1
2
3",gurgaon=123,1,Results in a runtime error,ACP
225,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","def myfunc(*args, **kwargs):
   for a in args:
       print(a),

myfunc(1, 2, 3, gurgaon=123)",MCQ,1,1 2 3,gurgaon=123,1,Results in a runtime error,ACP
226,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","list1 = [20, 30, 40]
list2 =[20, 30, 40]
print(list(set(list1 + list2)))",MCQ,1,"[40, 20, 30]","[40, 20, 30, 20, 40, 30]","[40, 60, 80]","[40, 60, 80, 40, 60, 80]",ACP
227,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","mylist = [1, 2, 3, 4, 5, 1, 1, 1]
mylist.remove(1)
print(len(mylist))",MCQ,3,4,1,7,5,ACP
228,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","mylist = [1, 2, 3, 4, 5]
mylist.extend([0.5 * x for x in range(0, 5)])
mylist.extend(mylist)
print(len(mylist))",MCQ,2,10,20,30,5,ACP
229,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","mylist = [10, 20, 30, 100, 500, 600] 
for index, item in enumerate(mylist):
    mylist[index] = 3 * mylist[index]
print(mylist)

",MCQ,1,"[30, 60, 90, 300, 1500, 1800]","[10, 20, 90, 100, 1500, 600] ","[10, 20, 30, 100, 500, 600] ","[30, 20, 30, 100, 500, 1800] ",ACP
230,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","mylist = [10, 20, 30, 100, 500, 600]
mynewlist = list(mylist) 
mylist.append(800)
print(mynewlist)",MCQ,1,"[10, 20, 30, 100, 500, 600]","[10, 20, 30, 100, 500, 600, 800]","[800,10, 20, 30, 100, 500, 600]","A runtime error (""object not found"") will be printed",ACP
231,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","mystr = ""einnegans zane""
print(mystr.count(""n"", 0, 6))",MCQ,1,2,3,4,1,ACP
232,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","mystring = ""Hello Learning string handling ""
mystring[0] = 'h'
print(mystring)",MCQ,3,Hello Learning string handling,hello Learning string handling,Results in a runtime error,No given option is correct ,ACP
233,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","str=""-""
lstr=[""This"",""string"",""will"",""be"",""joined""]
print(str.join(lstr))",MCQ,1,This-string-will-be-joined,This-string-will-be-joined--,Thisstringwillbejoined,This---string---willbejoined,ACP
234,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?
","str1 = 'hello'
str2 = ','
str3 = 'world'
str4 = str1 + str3 
print(str4[::-1])",MCQ,3,helloworld,worldhello,dlrowolleh,Results in a runtime error,ACP
235,Data Structures,Python Dictionary,"What will be the output of the following code fragment?
","mydict = {}
mydict['mumbai'] = 18
mydict['delhi'] = 16
mydict['kolkata'] = 14
mydict['chennai'] = 8
del mydict['chennai']
print(mydict[chennai])",MCQ,4,-1,8,0,"Results in a  runtime error (""NameError"") ",ACP
236,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?

","class A:
    def f(self):
        return self.g()

    def g(self):
        return 'A'

class B(A):
    def g(self):
        return 'B'

a = A()
b = B()
print(a.f(), b.f())
print(a.g(), b.g())",MCQ,1,A B A B,B A A B,A B,"A runtime error (""object not found"") will be printed",ACP
237,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?

","def build_dict(mylistofword):
    mydict = {}
    for word in mylistofword:
        mydict[word] = mydict.get(word, 0) + 1

    return mydict

def main():
        mylist = [""w1"", ""w2"", ""w1"", ""w4"", ""w2"", ""w1""]
        mydict = build_dict(mylist)
        mydict.pop(""w1"")
        del mydict[""w2""]
        print(max(mydict.values()))   
main()",MCQ,4,3,2,"Results in a  runtime error (""NameError"") ",1,ACP
238,Data Structures,Python Dictionary,"What will be the output of the following code fragment?

","def build_dict(mylistofword):
    mydict = {}
    for word in mylistofword:
        mydict[word] = mydict.get(word, 0) + 1

    return mydict

def main():
        mylist = [""w1"", ""w2"", ""w1"", ""w4"", ""w2""]
        print(max(build_dict(mylist).values()))

main()",MCQ,4,3,4,6,2,ACP
239,Data Structures,Python Dictionary,"What will be the output of the following code fragment?

","def build_dict(mylistofword):
    mydict = {}
    for word in mylistofword:
        mydict[word] = mydict[word]  + 1

    return mydict

def main():
        mylist = [""w1"", ""w2""]
        print(sum(build_dict(mylist).values()))

main()
",MCQ,4,2,4,3,"Results in a ""KeyError""",ACP
240,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?

","myname = ""aricent GGN""
myname[1] = 'A'
print(myname)",MCQ,4,“Aricent GGN”,“aricent GGN”,“aAicent GGN”,This results in a “TypeError”,ACP
241,Code Analysis,Python Code Analysis,"What will be the output of the following code fragment?

","myname = ""Altran""
print(myname[:2] + myname[2:])

",MCQ,4,Alttran,Altrn,Alltran,Altran,ACP
